,0,1,2
1,-73.9609493965619,40.63958798518079,1605
2,-73.92263462342775,40.65267404952823,1268
3,-73.95506436887847,40.60417509636658,1261
4,-73.91767072258604,40.67361007037636,1227
5,-73.99119437340154,40.61797738618923,1162
6,-73.94801518500944,40.660082399430706,1082
7,-74.01736272793451,40.63036364513195,1071
8,-73.89378144444474,40.66576674643872,1054
9,-73.92763307564769,40.62367825077721,961
10,-73.94848473317306,40.68456489663468,849
11,-73.97215407515927,40.68031858343949,799
12,-73.90087616624048,40.639603948849036,787
13,-73.95790411354305,40.708851607387125,753
14,-73.87318732749335,40.673228347708886,742
15,-73.99591571470589,40.65987928529415,722
16,-73.93926665954416,40.70652614672367,708
17,-73.92066452234631,40.695167896648066,708
18,-73.97672129411764,40.58555384505022,699
19,-73.98682177581111,40.69097926991152,677
20,-73.94803793159609,40.73074017263845,308
